town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Morristown,Summer,96,96,824450,873500,4.31,32500,5.54,51380,36.5,63,
Morristown,Winter,109,109,775000,827000,2.17,15000,4.01,29929,37.6,71,
Mountain Lakes,Fall,10,10,1080000,1099000,0.0,0,2.1,5989,60.0,81,
Mountain Lakes,Spring,33,33,1289900,1375999,6.67,70000,6.92,83585,24.2,77,
Mountain Lakes,Summer,18,18,1075000,1210000,5.18,34050,7.52,54394,44.4,75,
Mountain Lakes,Winter,3,3,989000,1106303,-1.63,-13000,2.56,23101,66.7,71,yes
Mountainside,Fall,12,12,974450,972500,0.09,750,0.47,1767,41.7,76,
Mountainside,Spring,32,32,935000,1105000,10.74,105500,10.21,107998,21.9,64,
Mountainside,Summer,17,17,975000,980000,0.0,0,0.72,4753,58.8,63,
Mountainside,Winter,18,18,949009,1020004,8.57,72500,7.79,83233,27.8,62,
New Providence,Fall,30,30,1024000,1153500,6.34,90500,10.09,103433,20.0,64,
New Providence,Spring,68,68,924000,1031750,10.07,90000,9.67,100575,19.1,56,
New Providence,Summer,33,33,899000,937000,8.7,70000,8.76,86608,27.3,54,
New Providence,Winter,31,31,889000,978000,7.78,61000,7.79,75441,29.0,52,
North Haledon,Fall,28,28,660950,655000,0.33,2500,2.66,13493,50.0,89,
North Haledon,Spring,50,49,685000,689000,3.5,22000,4.16,27127,22.4,71,
North Haledon,Summer,37,37,635000,675000,3.85,26000,4.76,28687,27.0,55,
North Haledon,Winter,35,35,639999,665000,1.33,10000,2.77,16523,37.1,72,
Nutley,Fall,39,39,629999,640000,2.71,13000,4.61,29571,33.3,67,
Nutley,Spring,80,80,627000,675000,5.49,35000,5.8,35365,22.5,62,
Nutley,Summer,73,73,599900,615000,2.52,16000,3.95,21285,28.8,66,
Nutley,Winter,47,47,629900,655000,4.43,16000,5.73,32850,31.9,71,
Parsippany-Troy Hills,Fall,50,50,639950,675000,1.72,8750,1.92,12195,44.0,64,
Parsippany-Troy Hills,Spring,84,82,699500,730000,5.62,37184,5.16,34653,26.8,58,
Parsippany-Troy Hills,Summer,42,42,639500,663500,4.63,25500,5.04,34014,28.6,56,
Parsippany-Troy Hills,Winter,63,63,649900,661000,4.37,25200,4.61,25040,31.7,60,
Pompton Lakes,Fall,17,17,515000,520000,1.36,5255,3.16,14091,47.1,80,
Pompton Lakes,Spring,48,48,489450,520000,7.53,31500,7.84,37077,16.7,59,
Pompton Lakes,Summer,29,29,499000,530000,3.27,15000,2.83,13500,41.4,64,
Pompton Lakes,Winter,34,34,524950,535555,0.82,4500,1.81,9321,38.2,80,
Pompton Plains,Fall,14,14,799450,797500,0.07,500,0.4,-600,50.0,81,
Pompton Plains,Spring,36,36,574400,627500,4.33,25100,5.32,36936,13.9,59,
Pompton Plains,Summer,22,22,699506,755000,0.89,5550,1.43,-3758,45.5,67,
Pompton Plains,Winter,18,18,571388,590000,0.76,5000,3.04,14019,38.9,66,
Randolph,Fall,54,54,754894,782500,1.01,6600,2.51,18274,37.0,68,
Randolph,Spring,113,113,798000,839000,4.3,40000,6.54,51948,23.0,63,
Randolph,Summer,63,63,700000,750000,4.0,26000,4.31,30252,28.6,61,
Randolph,Winter,56,56,725000,769950,4.0,26000,4.93,38912,30.4,68,
Roseland,Fall,11,11,750000,760000,3.65,31000,6.22,44827,27.3,57,
Roseland,Spring,18,18,771950,837500,2.66,32550,4.74,35294,33.3,60,
Roseland,Summer,7,7,749900,765000,5.88,40001,7.51,54314,42.9,67,yes
Roseland,Winter,11,11,699900,718000,7.51,51000,6.39,49274,0.0,60,
Scotch Plains,Fall,39,39,899000,912000,1.6,15000,4.05,39399,41.0,76,
Scotch Plains,Spring,115,115,899000,950888,5.45,48000,7.74,69736,27.8,61,
Scotch Plains,Summer,45,45,799000,850000,7.93,61000,8.0,67969,20.0,56,
Scotch Plains,Winter,67,67,875000,875000,3.24,26000,5.33,54435,28.4,62,
Short Hills,Fall,30,30,2341500,2397500,3.16,53500,3.68,56826,43.3,83,
Short Hills,Spring,88,88,2296500,2550000,5.61,113500,6.32,108506,35.2,66,
Short Hills,Summer,31,31,2350000,2345000,0.06,1000,3.04,41719,48.4,65,
Short Hills,Winter,33,32,1895000,2237500,3.37,56250,6.21,96954,43.8,73,
South Orange,Fall,31,31,999000,1150000,5.23,45000,7.65,77087,19.4,57,
South Orange,Spring,111,110,997000,1200000,14.3,150000,15.56,167660,13.6,63,
South Orange,Summer,37,37,949000,999999,6.08,50999,8.23,86475,21.6,62,
South Orange,Winter,38,37,869000,999999,8.28,65000,11.61,112292,10.8,56,
South Plainfield,Fall,17,17,525000,547000,1.43,6000,0.97,6265,41.2,78,
South Plainfield,Spring,28,28,550000,592450,4.56,20550,4.76,26033,10.7,65,
South Plainfield,Summer,15,15,590000,590000,3.72,20100,2.92,19727,26.7,52,
South Plainfield,Winter,31,31,559900,570000,0.86,6000,2.15,13716,32.3,71,
Springfield,Fall,33,33,675000,705000,1.69,12000,3.84,28033,30.3,63,
Springfield,Spring,70,70,647000,681000,5.38,31000,5.92,42521,21.4,62,
Springfield,Summer,45,45,599000,650000,4.01,20500,5.46,29662,28.9,62,
Springfield,Winter,33,33,639000,650000,3.56,12100,3.27,20036,33.3,62,
Stirling,Fall,1,1,885000,840000,-5.08,-45000,-5.08,-45000,100.0,85,yes
Stirling,Spring,12,12,724000,742500,2.54,17000,5.03,44008,25.0,60,
Stirling,Summer,5,5,675000,670000,5.13,40000,4.28,29200,40.0,54,yes
Stirling,Winter,4,4,604500,647500,6.22,38600,6.64,40800,0.0,45,yes
Summit,Fall,61,61,1350000,1510000,8.0,102000,8.07,111599,34.4,59,
Summit,Spring,118,118,1375000,1580000,14.14,175000,13.51,191400,11.9,61,
Summit,Summer,59,59,1295000,1460000,8.79,105000,10.46,136416,27.1,54,
Summit,Winter,47,47,1300000,1390000,5.0,55000,8.07,104663,34.0,62,
Totowa,Fall,12,12,734450,762500,0.76,5500,0.66,-2383,41.7,76,
Totowa,Spring,22,22,637000,688000,4.47,32500,4.66,28341,18.2,60,
Totowa,Summer,20,20,589450,601000,5.29,27050,5.07,28784,25.0,66,
Totowa,Winter,19,19,719900,734900,2.97,20100,3.16,7522,36.8,86,
Towaco,Fall,13,13,709900,752577,3.57,25001,3.69,28253,30.8,78,
Towaco,Spring,18,18,739450,794586,1.76,25250,5.04,57182,33.3,59,
Towaco,Summer,14,14,849500,955000,5.46,85550,6.56,61029,28.6,58,
Towaco,Winter,24,24,647000,645000,0.07,500,1.1,16779,50.0,67,
Verona,Fall,40,39,639000,737000,8.66,36000,9.33,70880,28.2,65,
Verona,Spring,79,77,679000,812000,11.43,53000,12.44,95746,19.5,54,
Verona,Summer,54,54,654000,741250,6.15,41000,8.72,67741,24.1,61,
Verona,Winter,28,27,649000,714000,0.0,0,5.65,43512,55.6,75,
Warren,Fall,39,39,1225000,1180000,-1.25,-19000,-1.28,-25018,69.2,85,
Warren,Spring,82,82,1262500,1300000,0.0,0,1.75,18319,51.2,69,
Warren,Summer,42,41,1199900,1250000,0.0,0,1.46,-4657,58.5,72,
Warren,Winter,47,47,925000,947000,0.0,0,0.94,5102,59.6,78,
Watchung,Fall,12,12,1024500,1142500,2.69,26550,4.23,21350,41.7,72,
Watchung,Spring,26,26,1172500,1262500,4.01,50000,5.57,60812,30.8,61,
Watchung,Summer,19,19,849999,915000,0.07,1000,0.81,7206,47.4,57,
Watchung,Winter,14,14,1385000,1470000,0.0,0,1.11,17087,57.1,80,
Wayne,Fall,107,107,735000,745000,3.72,30100,5.08,42697,31.8,73,
Wayne,Spring,213,212,699000,750000,5.33,36500,6.36,48343,22.2,64,
