town,season,dist_mi_from_westfield,sales,sales_with_list_price,median_sold_price,median_list_price,median_sold_vs_ask_pct,mean_sold_vs_ask_pct,median_dom,pct_at_or_under_ask,outliers_excluded_from_mean
Mountain Lakes,Spring,23,37,22,1250000,1112500,3.81,4.68,57,36.4,0
Mountain Lakes,Summer,23,107,72,1210000,1199500,3.63,5.38,76,30.6,0
Mountain Lakes,Fall,23,70,35,1111112,1100000,1.27,3.36,76,37.1,0
Mountainside,Winter,3,57,33,940000,875000,5.63,6.12,68,33.3,0
Mountainside,Spring,3,60,35,967500,925000,7.72,8.21,54,22.9,0
Mountainside,Summer,3,120,76,988500,921950,4.63,5.69,69,32.9,0
Mountainside,Fall,3,72,51,909500,899900,1.89,3.74,63,39.2,0
New Providence,Winter,7,85,59,875000,829000,9.41,9.51,60,18.6,0
New Providence,Spring,7,98,64,823000,862500,7.83,8.6,53,25.0,0
New Providence,Summer,7,186,137,976010,895000,8.96,9.96,56,16.1,0
New Providence,Fall,7,115,74,843000,850000,4.5,7.08,56,27.0,0
North Caldwell,Winter,16,10,7,925000,835900,0.0,2.47,88,57.1,0
North Caldwell,Spring,16,15,7,915000,849000,7.18,6.19,52,28.6,0
North Caldwell,Summer,16,46,20,1125000,1062500,3.45,7.08,63,30.0,0
North Caldwell,Fall,16,45,27,915000,1149000,3.47,4.0,67,40.7,1
North Haledon,Winter,22,123,47,640000,630000,0.22,1.86,82,48.9,0
North Haledon,Spring,22,107,57,650000,650000,3.33,3.58,72,28.1,1
North Haledon,Summer,22,180,90,650000,649900,4.69,5.22,68,28.9,0
North Haledon,Fall,22,131,45,585000,580000,2.67,3.3,82,28.9,0
Nutley,Winter,17,203,89,622652,605000,4.43,5.24,63,30.3,0
Nutley,Spring,17,210,102,647500,621950,6.31,7.15,61,21.6,0
Nutley,Summer,17,415,205,637000,629000,4.35,4.92,68,27.3,0
Nutley,Fall,17,274,125,600000,600000,3.94,5.49,64,28.0,0
Parsippany-Troy Hills,Winter,14,246,93,577500,625000,3.4,3.58,71,36.6,0
Parsippany-Troy Hills,Spring,14,226,109,632500,650000,5.91,6.07,49,26.6,1
Parsippany-Troy Hills,Summer,14,420,163,661004,675000,5.6,6.54,58,20.9,1
Parsippany-Troy Hills,Fall,14,379,144,590000,599000,3.84,4.85,55,28.5,0
Pompton Lakes,Winter,24,100,52,480000,471200,2.46,3.8,72,30.8,0
Pompton Lakes,Spring,24,120,64,490000,479000,4.83,5.04,66,21.9,0
Pompton Lakes,Summer,24,196,107,493500,474900,6.21,7.62,62,20.6,0
Pompton Lakes,Fall,24,136,72,508000,493700,3.64,4.98,68,33.3,0
Pompton Plains,Winter,22,61,27,531250,579000,0.0,1.7,70,51.9,0
Pompton Plains,Spring,22,82,52,600000,539450,6.05,6.31,53,11.5,0
Pompton Plains,Summer,22,101,64,625000,632450,4.09,3.79,66,28.1,0
Pompton Plains,Fall,22,81,52,600000,632000,1.38,2.22,66,38.5,0
Randolph,Winter,25,172,102,720500,700000,1.17,2.9,69,42.2,0
Randolph,Spring,25,192,136,780000,742450,4.5,6.74,57,27.2,1
Randolph,Summer,25,400,250,784250,763163,4.41,5.37,65,25.2,0
Randolph,Fall,25,228,139,762500,750000,3.73,4.41,67,29.5,0
Roseland,Winter,15,47,15,770000,755000,7.51,6.69,63,26.7,0
Roseland,Spring,15,53,17,700000,685000,4.57,5.1,60,5.9,0
Roseland,Summer,15,96,40,798000,764450,6.88,7.88,66,27.5,0
Roseland,Fall,15,65,26,755000,789000,3.76,5.54,67,34.6,0
Scotch Plains,Winter,3,186,103,710000,749000,2.55,3.89,71,38.8,0
Scotch Plains,Spring,3,196,129,855500,839000,7.63,9.16,54,20.2,0
Scotch Plains,Summer,3,347,242,880000,849000,5.33,7.23,65,24.8,1
Scotch Plains,Fall,3,178,106,787500,789000,4.94,5.77,61,26.4,0
Short Hills,Winter,8,90,65,2335000,2295000,0.28,3.52,76,49.2,1
Short Hills,Spring,8,135,88,2050000,1895000,3.27,6.32,62,38.6,0
Short Hills,Summer,8,268,215,2311000,2195000,4.9,5.96,69,36.3,0
Short Hills,Fall,8,109,67,2345000,2380000,0.06,2.77,65,49.3,0
South Orange,Winter,11,115,69,975000,899000,7.33,9.66,64,21.7,0
South Orange,Spring,11,162,103,997000,929000,10.91,13.69,56,10.7,2
South Orange,Summer,11,297,210,1060000,949000,11.22,12.77,62,18.6,0
South Orange,Fall,11,147,96,950000,925000,5.29,7.4,60,19.8,0
South Plainfield,Winter,8,197,104,550000,570750,1.09,1.98,75,34.6,2
South Plainfield,Spring,8,167,111,530000,535000,3.53,4.31,62,22.5,0
South Plainfield,Summer,8,254,166,540000,529950,4.6,4.69,64,24.1,0
South Plainfield,Fall,8,185,112,530000,525000,3.28,3.88,64,31.2,0
Springfield,Winter,5,125,58,615000,599900,3.7,4.42,71,25.9,0
Springfield,Spring,5,133,69,556000,529000,5.41,4.28,56,27.5,1
Springfield,Summer,5,266,157,671000,679000,5.16,5.75,63,20.4,0
Springfield,Fall,5,150,91,610250,600000,1.92,4.14,67,34.1,0
Stirling,Winter,10,24,11,665000,585000,0.34,2.46,112,45.5,0
Stirling,Spring,10,21,15,770000,745000,2.8,5.21,52,20.0,0
Stirling,Summer,10,39,26,620000,584450,4.39,5.37,63,26.9,0
Stirling,Fall,10,17,9,705000,550000,7.01,5.34,55,33.3,0
Summit,Winter,6,149,104,1250000,1297500,6.4,6.3,60,33.7,0
Summit,Spring,6,196,126,1300000,1295000,8.03,10.07,53,20.6,0
Summit,Summer,6,390,277,1417028,1250000,10.0,10.23,62,22.7,0
Summit,Fall,6,206,136,1206000,1275000,3.67,7.12,66,33.8,1
Totowa,Winter,19,77,30,635000,684394,1.53,2.46,92,40.0,1
Totowa,Spring,19,70,31,669500,619999,4.02,4.86,57,19.4,0
Totowa,Summer,19,123,58,575000,549000,3.63,3.07,71,27.6,0
Totowa,Fall,19,107,40,640000,629500,4.53,3.1,77,35.0,0
Towaco,Winter,25,36,22,751288,689000,0.26,1.79,73,40.9,0
Towaco,Spring,25,39,30,650000,647000,0.54,2.79,60,40.0,0
Towaco,Summer,25,60,47,835000,839000,6.19,7.11,62,21.3,0
Towaco,Fall,25,22,15,718056,700000,3.57,3.09,87,33.3,0
Verona,Winter,14,126,52,655454,694450,4.82,7.07,75,36.5,1
Verona,Spring,14,148,87,647010,659000,12.14,11.59,51,28.7,3
Verona,Summer,14,239,142,735000,744000,6.37,8.79,62,24.6,1
Verona,Fall,14,177,94,555000,599000,4.0,6.8,61,28.7,0
Warren,Winter,8,164,90,872386,1199000,-0.75,-1.01,76,65.6,0
Warren,Spring,8,153,92,946000,1149950,0.0,1.51,59,55.4,0
Warren,Summer,8,278,183,1029000,1195000,0.0,1.36,74,54.6,1
Warren,Fall,8,187,108,925000,1097500,0.0,0.56,72,53.7,0
Watchung,Winter,5,35,22,927000,908700,-0.79,0.05,96,68.2,0
Watchung,Spring,5,50,31,1199500,1299900,3.4,3.64,63,38.7,0
Watchung,Summer,5,95,67,989000,989000,0.13,2.28,73,47.8,0
Watchung,Fall,5,62,45,869000,899900,-0.4,0.69,83,62.2,0
Wayne,Winter,21,396,227,660500,649900,3.25,4.02,72,26.4,0
Wayne,Spring,21,385,241,675000,650000,4.21,5.12,61,24.9,1
Wayne,Summer,21,689,414,709000,693500,5.96,6.54,64,19.6,1
Wayne,Fall,21,576,305,675000,649999,4.43,4.93,69,27.9,0
West Caldwell,Winter,16,11,4,579000,549000,1.39,5.19,65,50.0,0
West Caldwell,Spring,16,22,7,705000,589900,10.19,10.19,74,14.3,0
West Caldwell,Summer,16,46,16,688210,644000,11.48,9.63,65,18.8,0
West Caldwell,Fall,16,44,18,750000,722450,7.62,8.23,52,11.1,0
West Orange,Winter,13,407,195,620000,599000,5.15,6.66,72,24.1,0
West Orange,Spring,13,479,268,638000,599000,8.82,9.7,54,18.7,3
West Orange,Summer,13,787,439,650000,629999,8.51,9.63,62,18.0,0
West Orange,Fall,13,504,246,615000,599000,6.62,7.01,64,25.2,0
Westfield,Winter,0,216,130,1099500,1075000,3.12,5.01,71,35.4,0
Westfield,Spring,0,308,220,1207888,1099500,8.79,9.78,50,22.3,0
Westfield,Summer,0,525,370,1250000,1175000,6.52,7.79,62,21.9,1
Westfield,Fall,0,298,175,1155000,1185000,3.79,4.95,57,35.4,0
Woodbridge,Winter,10,157,103,430000,429000,2.0,3.02,78,33.0,1
Woodbridge,Spring,10,166,103,426250,425000,3.39,4.56,62,25.2,0
Woodbridge,Summer,10,273,169,425000,435000,3.08,4.12,65,33.7,0
Woodbridge,Fall,10,205,122,425050,425000,1.94,3.27,74,32.8,0
Woodland Park,Winter,18,199,72,600000,599950,2.9,3.83,76,34.7,0
Woodland Park,Spring,18,184,95,600000,565000,4.43,4.75,58,31.6,0
Woodland Park,Summer,18,271,144,600000,599000,4.77,5.78,65,21.5,0
Woodland Park,Fall,18,174,77,580000,579000,2.01,3.17,79,29.9,0
