town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Mountain Lakes,Spring,45,45,1325000,1400000,5.23,65000,6.76,82944,17.8,82,
Mountain Lakes,Summer,42,42,1087000,1108000,1.65,15556,4.67,37910,38.1,69,
Mountain Lakes,Winter,6,6,893500,945652,6.32,43000,6.13,73717,33.3,64,yes
Mountainside,Fall,37,37,899000,930000,2.63,25099,5.03,42072,27.0,58,
Mountainside,Spring,49,49,930000,1010000,7.72,88000,9.45,94852,22.4,68,
Mountainside,Summer,49,49,924900,948500,0.4,6000,3.27,23364,44.9,68,
Mountainside,Winter,27,27,899000,940000,5.22,40000,6.79,66429,25.9,63,
New Providence,Fall,63,63,875000,930000,8.24,70000,9.47,91866,23.8,57,
New Providence,Spring,94,94,894500,972500,9.62,84250,9.4,94093,17.0,56,
New Providence,Summer,87,87,850000,900000,6.96,61000,9.25,82493,18.4,52,
New Providence,Winter,50,50,827000,900500,7.78,63500,7.76,69925,24.0,54,
North Caldwell,Fall,16,16,948500,1050000,5.44,45500,6.3,54162,25.0,60,
North Caldwell,Spring,6,6,949945,1190000,6.09,53050,10.32,93852,33.3,90,yes
North Caldwell,Summer,24,23,1125000,1250000,3.33,28000,5.44,47687,34.8,57,
North Caldwell,Winter,3,3,910000,885000,8.47,50000,5.0,50000,33.3,53,yes
North Haledon,Fall,44,44,649500,645000,1.95,13000,3.07,17702,38.6,85,
North Haledon,Spring,58,57,650000,679900,2.79,20100,4.04,25532,26.3,74,
North Haledon,Summer,68,68,612400,628500,4.23,27000,5.11,30735,23.5,62,
North Haledon,Winter,42,42,642950,662500,1.14,7000,2.49,13986,42.9,72,
Nutley,Fall,94,94,625000,647500,3.56,21000,4.77,28802,28.7,61,
Nutley,Spring,123,123,629000,680000,6.25,35100,6.51,38493,20.3,68,
Nutley,Summer,170,170,617000,630000,3.83,20000,4.91,26096,30.0,67,
Nutley,Winter,73,73,609999,645000,3.15,16000,5.47,32887,34.2,71,
Parsippany-Troy Hills,Fall,107,107,630000,660000,2.06,10001,3.06,16299,37.4,59,
Parsippany-Troy Hills,Spring,116,114,690500,727500,6.21,43000,6.21,41400,22.8,56,
Parsippany-Troy Hills,Summer,117,117,650000,700200,5.47,35100,6.48,38687,20.5,55,
Parsippany-Troy Hills,Winter,81,81,648000,650000,4.88,27500,5.07,27843,29.6,60,
Pompton Lakes,Fall,47,47,449900,465500,1.4,10100,4.03,17196,42.6,74,
Pompton Lakes,Spring,69,69,479000,520000,7.14,31000,8.29,38321,15.9,59,
Pompton Lakes,Summer,90,90,489388,516000,5.02,20556,6.44,28678,23.3,64,
Pompton Lakes,Winter,56,56,479450,500000,2.46,9600,3.37,15061,32.1,72,
Pompton Plains,Fall,37,37,565000,605000,1.19,6000,3.03,15442,32.4,64,
Pompton Plains,Spring,51,51,589900,605000,5.01,25100,5.29,35057,13.7,58,
Pompton Plains,Summer,58,58,664500,664550,1.66,11000,1.77,1125,43.1,67,
Pompton Plains,Winter,32,32,571388,590000,6.54,26600,5.22,26887,28.1,64,
Randolph,Fall,110,110,749444,780000,1.28,10000,2.9,22048,39.1,62,
Randolph,Spring,169,169,780000,830000,5.58,46000,6.67,50870,18.9,64,
Randolph,Summer,174,174,699950,745000,4.39,28550,5.4,38953,24.1,62,
Randolph,Winter,83,83,699999,725000,3.57,25000,5.12,38435,31.3,68,
Roseland,Fall,19,19,849000,869000,3.65,31000,6.66,49911,26.3,66,
Roseland,Spring,22,22,764450,808000,7.21,50050,6.91,50696,22.7,60,
Roseland,Summer,30,30,684500,747500,5.67,35500,6.93,55501,33.3,70,
Roseland,Winter,14,14,699450,714000,4.08,25550,5.21,39858,7.1,60,
Scotch Plains,Fall,95,95,749000,802000,4.79,30000,5.24,45177,30.5,56,
Scotch Plains,Spring,163,162,862500,950444,7.91,60550,9.29,81460,21.6,64,
Scotch Plains,Summer,139,139,799000,853000,6.0,50001,6.85,60605,24.5,60,
Scotch Plains,Winter,80,80,819450,870000,3.17,26000,6.1,59120,28.7,62,
Short Hills,Fall,63,63,2188000,2320000,3.61,56000,4.33,63127,41.3,73,
Short Hills,Spring,141,141,2175000,2302000,8.14,150999,7.68,130304,29.8,70,
Short Hills,Summer,103,103,2188000,2200000,3.15,55000,3.63,51937,40.8,61,
Short Hills,Winter,52,51,1895000,2100000,2.97,52000,5.65,77834,39.2,66,
South Orange,Fall,81,81,922000,1025000,5.75,45000,8.07,74504,17.3,60,
South Orange,Spring,159,158,992000,1195000,14.38,148673,15.28,159842,13.9,64,
South Orange,Summer,109,109,879000,995000,7.63,51000,10.49,91790,14.7,56,
South Orange,Winter,58,57,869000,970000,6.51,61000,10.44,96527,17.5,57,
South Plainfield,Fall,36,36,549900,548500,2.54,13000,1.53,8947,33.3,72,
South Plainfield,Spring,45,45,549000,545000,4.62,25000,5.18,25553,20.0,70,
South Plainfield,Summer,45,45,525000,560000,4.63,25000,4.92,25418,17.8,58,
South Plainfield,Winter,34,34,529000,540000,1.28,6750,3.04,17280,26.5,70,
Springfield,Fall,77,77,625000,642000,1.82,11000,3.57,22779,32.5,63,
Springfield,Spring,103,103,649900,690000,5.46,32000,6.17,43059,16.5,62,
Springfield,Summer,110,110,607500,666250,3.93,20750,5.07,31971,29.1,62,
Springfield,Winter,45,45,599000,630000,3.81,15001,3.37,20382,33.3,62,
Stirling,Fall,8,8,567500,573500,-1.16,-7250,0.3,-12175,62.5,117,yes
Stirling,Spring,16,16,662000,697500,3.21,19500,6.98,52547,25.0,60,
Stirling,Summer,20,20,692000,702500,6.8,48500,6.47,41950,25.0,55,
Stirling,Winter,5,5,585000,630000,5.72,36200,5.82,35640,0.0,46,yes
